"False Hypotheses","Obs","Block_Size","Rho","Type","Srivastava","Chen","SH.Ln.LB","SH.Sn.LB","GCT","Simes"
0.01,50,50,0.8,"Unif",0.019,0.08,0.92,0.951,0.325,0.314
0.05,50,50,0.8,"Unif",0.022,0.076,0.421,0.312,0.31,0.071
0.15,50,50,0.8,"Unif",0.021,0.082,0.296,0.153,0.343,0.033
0.01,100,50,0.8,"Unif",0.022,0.099,1,1,0.347,0.597
0.05,100,50,0.8,"Unif",0.027,0.092,0.957,0.929,0.352,0.096
0.15,100,50,0.8,"Unif",0.028,0.084,0.846,0.644,0.323,0.04
0.01,20,100,0.8,"Unif",0.016,0.055,0.222,0.394,0.51,0.081
0.05,20,100,0.8,"Unif",0.013,0.064,0.059,0.059,0.528,0.027
0.15,20,100,0.8,"Unif",0.01,0.071,0.051,0.038,0.525,0.028
0.01,50,100,0.8,"Unif",0.009,0.083,0.962,0.985,0.529,0.309
0.05,50,100,0.8,"Unif",0.01,0.082,0.53,0.488,0.513,0.056
0.15,50,100,0.8,"Unif",0.01,0.088,0.369,0.249,0.535,0.03
0.01,100,100,0.8,"Unif",0.013,0.083,1,1,0.547,0.594
0.05,100,100,0.8,"Unif",0.007,0.1,0.985,0.974,0.54,0.079
0.15,100,100,0.8,"Unif",0.008,0.086,0.89,0.778,0.518,0.031
