"","SD","CQ","SH.Ln.LB","SH.Sn.LB","Simes"
"power.test.obs20",NA,NA,NA,NA,NA
"power.test.obs50",NA,NA,NA,NA,NA
"power.test.obs100",NA,NA,NA,NA,NA
